date,area,shift,total_assigned,total_present,total_absent,critical_present,total_work_hours,total_overtime_hours,coal_production_tonnes,target_production,total_cost_inr,revenue_inr,net_profit_inr,attendance_pct,critical_absent,critical_attendance_pct,production_achievement_pct,profit_per_tonne,cost_per_tonne,revenue_per_tonne,tonnes_per_worker,tonnes_per_critical_worker,tonnes_per_work_hour,overtime_pct,critical_staff_ratio,target_gap_tonnes,profit_margin_pct,work_hours_per_tonne
18-04-2025,Kusmunda,Morning,600,540,60,396,4320,165.6,5120.15,2500,2867632.5,11264330,8396697.5,90,204,66,204.81,1639.93,560.07,2200,9.48,12.93,1.19,3.83,73.33,2620.15,74.54,0.84
19-04-2025,Korba,Morning,600,564,36,396,4512,129.6,5488.62,1333,1978217,10428378,8450161,94,204,66,411.75,1539.58,360.42,1900,9.73,13.86,1.22,2.87,70.21,4155.62,81.03,0.82
19-04-2025,Korba,Evening,600,540,60,360,4320,213.6,4272.21,1333,1551623.5,8117199,6565575.5,90,240,60,320.5,1536.81,363.19,1900,7.91,11.87,0.99,4.94,66.67,2939.21,80.88,1.01
20-04-2025,Kusmunda,Night,600,540,60,324,4320,162,5953.22,2500,3326871,13097084,9770213,90,276,54,238.13,1641.16,558.84,2200,11.02,18.37,1.38,3.75,60,3453.22,74.6,0.73
03-08-2025,Kusmunda,Evening,600,564,36,420,4512,267.6,4871.89,2500,2732589.5,10718158,7985568.5,94,180,70,194.88,1639.11,560.89,2200,8.64,11.6,1.08,5.93,74.47,2371.89,74.51,0.93
04-08-2025,Korba,Morning,600,516,84,360,4128,134.4,5617.04,1333,2023264,10672376,8649112,86,240,60,421.38,1539.8,360.2,1900,10.89,15.6,1.36,3.26,69.77,4284.04,81.04,0.73
05-08-2025,Dipka,Night,600,540,60,360,4320,190.8,5818.98,2000,2384592,16293144,13908552,90,240,60,290.95,2390.2,409.8,2800,10.78,16.16,1.35,4.42,66.67,3818.98,85.36,0.74
05-08-2025,Kusmunda,Evening,600,552,48,360,4416,159.6,4526.98,2500,2546289,9959356,7413067,92,240,60,181.08,1637.53,562.47,2200,8.2,12.57,1.03,3.61,65.22,2026.98,74.43,0.98
06-08-2025,Dipka,Evening,600,540,60,408,4320,258,5869.84,2000,2409936,16435552,14025616,90,192,68,293.49,2389.44,410.56,2800,10.87,14.39,1.36,5.97,75.56,3869.84,85.34,0.74
06-08-2025,Korba,Night,600,552,48,396,4416,10.8,4749.19,1333,1716116.5,9023461,7307344.5,92,204,66,356.28,1538.65,361.35,1900,8.6,11.99,1.08,0.24,71.74,3416.19,80.98,0.93
08-08-2025,Dipka,Morning,600,564,36,432,4512,120,4357.01,2000,1798954,12199628,10400674,94,168,72,217.85,2387.11,412.89,2800,7.73,10.09,0.97,2.66,76.6,2357.01,85.25,1.04
08-08-2025,Korba,Evening,600,552,48,384,4416,123.6,5390.01,1333,1943503.5,10241019,8297515.5,92,216,64,404.35,1539.42,360.58,1900,9.76,14.04,1.22,2.8,69.57,4057.01,81.02,0.82
09-08-2025,Dipka,Night,600,552,48,396,4416,278.4,5453.4,2000,2234610,15269520,13034910,92,204,66,272.67,2390.24,409.76,2800,9.88,13.77,1.23,6.3,71.74,3453.4,85.37,0.81
09-08-2025,Kusmunda,Morning,600,588,12,396,4704,188.4,5598.67,2500,3134868.5,12317074,9182205.5,98,204,66,223.95,1640.07,559.93,2200,9.52,14.14,1.19,4.01,67.35,3098.67,74.55,0.84
11-08-2025,Dipka,Evening,600,552,48,408,4416,128.4,4808.62,2000,1977348,13464136,11486788,92,192,68,240.43,2388.79,411.21,2800,8.71,11.79,1.09,2.91,73.91,2808.62,85.31,0.92
14-04-2025,Korba,Morning,600,552,48,420,4416,219.6,4714.93,1333,1707225.5,8958367,7251141.5,92,180,70,353.71,1537.91,362.09,1900,8.54,11.23,1.07,4.97,76.09,3381.93,80.94,0.94
15-04-2025,Korba,Evening,600,504,96,360,4032,49.2,5206.08,1333,1883178,9891552,8008374,84,240,60,390.55,1538.27,361.73,1900,10.33,14.46,1.29,1.22,71.43,3873.08,80.96,0.77
15-04-2025,Korba,Night,600,564,36,408,4512,145.2,3659.85,1333,1340097.5,6953715,5613617.5,94,192,68,274.56,1533.84,366.16,1900,6.49,8.97,0.81,3.22,72.34,2326.85,80.73,1.23
16-04-2025,Kusmunda,Night,600,552,48,336,4416,103.2,5571.77,2500,3124673.5,12257894,9133220.5,92,264,56,222.87,1639.2,560.8,2200,10.09,16.58,1.26,2.34,60.87,3071.77,74.51,0.79
17-04-2025,Korba,Night,600,564,36,348,4512,243.6,4042.33,1333,1472565.5,7680427,6207861.5,94,252,58,303.25,1535.71,364.29,1900,7.17,11.62,0.9,5.4,61.7,2709.33,80.83,1.12
18-04-2025,Dipka,Morning,600,552,48,348,4416,70.8,5696.82,2000,2337228,15951096,13613868,92,252,58,284.84,2389.73,410.27,2800,10.32,16.37,1.29,1.6,63.04,3696.82,85.35,0.78
18-04-2025,Dipka,Evening,600,564,36,396,4512,157.2,5460.35,2000,2242640,15288980,13046340,94,204,66,273.02,2389.29,410.71,2800,9.68,13.79,1.21,3.48,70.21,3460.35,85.33,0.83
18-04-2025,Kusmunda,Morning,600,540,60,396,4320,165.6,5120.15,2500,2867632.5,11264330,8396697.5,90,204,66,204.81,1639.93,560.07,2200,9.48,12.93,1.19,3.83,73.33,2620.15,74.54,0.84
19-04-2025,Korba,Morning,600,564,36,396,4512,129.6,5488.62,1333,1978217,10428378,8450161,94,204,66,411.75,1539.58,360.42,1900,9.73,13.86,1.22,2.87,70.21,4155.62,81.03,0.82
19-04-2025,Korba,Evening,600,540,60,360,4320,213.6,4272.21,1333,1551623.5,8117199,6565575.5,90,240,60,320.5,1536.81,363.19,1900,7.91,11.87,0.99,4.94,66.67,2939.21,80.88,1.01
20-04-2025,Kusmunda,Night,600,540,60,324,4320,162,5953.22,2500,3326871,13097084,9770213,90,276,54,238.13,1641.16,558.84,2200,11.02,18.37,1.38,3.75,60,3453.22,74.6,0.73
04-08-2025,Korba,Morning,600,516,84,360,4128,134.4,5617.04,1333,2023264,10672376,8649112,86,240,60,421.38,1539.8,360.2,1900,10.89,15.6,1.36,3.26,69.77,4284.04,81.04,0.73
05-08-2025,Dipka,Night,600,540,60,360,4320,190.8,5818.98,2000,2384592,16293144,13908552,90,240,60,290.95,2390.2,409.8,2800,10.78,16.16,1.35,4.42,66.67,3818.98,85.36,0.74
05-08-2025,Kusmunda,Evening,600,552,48,360,4416,159.6,4526.98,2500,2546289,9959356,7413067,92,240,60,181.08,1637.53,562.47,2200,8.2,12.57,1.03,3.61,65.22,2026.98,74.43,0.98
06-08-2025,Dipka,Evening,600,540,60,408,4320,258,5869.84,2000,2409936,16435552,14025616,90,192,68,293.49,2389.44,410.56,2800,10.87,14.39,1.36,5.97,75.56,3869.84,85.34,0.74
06-08-2025,Korba,Night,600,552,48,396,4416,10.8,4749.19,1333,1716116.5,9023461,7307344.5,92,204,66,356.28,1538.65,361.35,1900,8.6,11.99,1.08,0.24,71.74,3416.19,80.98,0.93
08-08-2025,Dipka,Morning,600,564,36,432,4512,120,4357.01,2000,1798954,12199628,10400674,94,168,72,217.85,2387.11,412.89,2800,7.73,10.09,0.97,2.66,76.6,2357.01,85.25,1.04
08-08-2025,Korba,Evening,600,552,48,384,4416,123.6,5390.01,1333,1943503.5,10241019,8297515.5,92,216,64,404.35,1539.42,360.58,1900,9.76,14.04,1.22,2.8,69.57,4057.01,81.02,0.82
09-08-2025,Dipka,Night,600,552,48,396,4416,278.4,5453.4,2000,2234610,15269520,13034910,92,204,66,272.67,2390.24,409.76,2800,9.88,13.77,1.23,6.3,71.74,3453.4,85.37,0.81
09-08-2025,Kusmunda,Morning,600,588,12,396,4704,188.4,5598.67,2500,3134868.5,12317074,9182205.5,98,204,66,223.95,1640.07,559.93,2200,9.52,14.14,1.19,4.01,67.35,3098.67,74.55,0.84
11-08-2025,Dipka,Evening,600,552,48,408,4416,128.4,4808.62,2000,1977348,13464136,11486788,92,192,68,240.43,2388.79,411.21,2800,8.71,11.79,1.09,2.91,73.91,2808.62,85.31,0.92
12-08-2025,Dipka,Night,600,576,24,432,4608,164.4,6370.46,2000,2610734,17837288,15226554,96,168,72,318.52,2390.18,409.82,2800,11.06,14.75,1.38,3.57,75,4370.46,85.36,0.72
01-01-2025,Dipka,Night,600,588,12,408,4704,186,5092.87,2000,2094048,14260036,12165988,98,192,68,254.64,2388.83,411.17,2800,8.66,12.48,1.08,3.95,69.39,3092.87,85.32,0.92
03-01-2025,Korba,Morning,600,528,72,396,4224,97.2,4621.09,1333,1673731.5,8780071,7106339.5,88,204,66,346.67,1537.81,362.19,1900,8.75,11.67,1.09,2.3,75,3288.09,80.94,0.91
03-01-2025,Korba,Evening,600,540,60,348,4320,90,5041.17,1333,1821509.5,9578223,7756713.5,90,252,58,378.18,1538.67,361.33,1900,9.34,14.49,1.17,2.08,64.44,3708.17,80.98,0.86
05-01-2025,Dipka,Evening,600,504,96,324,4032,243.6,5451.18,2000,2238522,15263304,13024782,84,276,54,272.56,2389.35,410.65,2800,10.82,16.82,1.35,6.04,64.29,3451.18,85.33,0.74
06-01-2025,Dipka,Night,600,528,72,408,4224,154.8,5699.09,2000,2335336,15957452,13622116,88,192,68,284.95,2390.23,409.77,2800,10.79,13.97,1.35,3.66,77.27,3699.09,85.37,0.74
06-01-2025,Korba,Evening,600,576,24,432,4608,88.8,4054.29,1333,1475151.5,7703151,6227999.5,96,168,72,304.15,1536.15,363.85,1900,7.04,9.38,0.88,1.93,75,2721.29,80.85,1.14
07-01-2025,Kusmunda,Night,600,552,48,360,4416,204,4575.8,2500,2569090,10066760,7497670,92,240,60,183.03,1638.55,561.45,2200,8.29,12.71,1.04,4.62,65.22,2075.8,74.48,0.97
07-01-2025,Korba,Night,600,540,60,432,4320,181.2,5888.98,1333,2119093,11189062,9069969,90,168,72,441.78,1540.16,359.84,1900,10.91,13.63,1.36,4.19,80,4555.98,81.06,0.73
08-01-2025,Kusmunda,Evening,600,588,12,372,4704,25.2,5068.15,2500,2846082.5,11149930,8303847.5,98,228,62,202.73,1638.44,561.56,2200,8.62,13.62,1.08,0.54,63.27,2568.15,74.47,0.93
08-01-2025,Korba,Evening,600,552,48,432,4416,91.2,4701.63,1333,1702670.5,8933097,7230426.5,92,168,72,352.71,1537.86,362.14,1900,8.52,10.88,1.06,2.07,78.26,3368.63,80.94,0.94
23-04-2025,Kusmunda,Night,600,528,72,348,4224,182.4,5372.45,2500,3002647.5,11819390,8816742.5,88,252,58,214.9,1641.1,558.9,2200,10.18,15.44,1.27,4.32,65.91,2872.45,74.6,0.79
23-04-2025,Korba,Night,600,564,36,432,4512,81.6,4235.61,1333,1535613.5,8047659,6512045.5,94,168,72,317.75,1537.45,362.55,1900,7.51,9.8,0.94,1.81,76.6,2902.61,80.92,1.07
30-04-2025,Kusmunda,Night,600,552,48,336,4416,172.8,5173.36,2500,2903398,11381392,8477994,92,264,56,206.93,1638.78,561.22,2200,9.37,15.4,1.17,3.91,60.87,2673.36,74.49,0.85
30-04-2025,Korba,Night,600,576,24,396,4608,139.2,4371.39,1333,1586436.5,8305641,6719204.5,96,204,66,327.94,1537.09,362.91,1900,7.59,11.04,0.95,3.02,68.75,3038.39,80.9,1.05
01-05-2025,Dipka,Evening,600,540,60,420,4320,265.2,5008.84,2000,2060436,14024752,11964316,90,180,70,250.44,2388.64,411.36,2800,9.28,11.93,1.16,6.14,77.78,3008.84,85.31,0.86
02-05-2025,Dipka,Night,600,540,60,408,4320,172.8,6293.2,2000,2575230,17620960,15045730,90,192,68,314.66,2390.79,409.21,2800,11.65,15.42,1.46,4,75.56,4293.2,85.39,0.69
17-08-2025,Korba,Night,600,540,60,420,4320,241.2,4934.15,1333,1784052.5,9374885,7590832.5,90,180,70,370.15,1538.43,361.57,1900,9.14,11.75,1.14,5.58,77.78,3601.15,80.97,0.88
18-08-2025,Kusmunda,Evening,600,540,60,348,4320,146.4,5458.42,2500,3056681,12008524,8951843,90,252,58,218.34,1640.01,559.99,2200,10.11,15.69,1.26,3.39,64.44,2958.42,74.55,0.79
20-08-2025,Korba,Night,600,552,48,348,4416,90,5230.97,1333,1892439.5,9938843,8046403.5,92,252,58,392.42,1538.22,361.78,1900,9.48,15.03,1.18,2.04,63.04,3897.97,80.96,0.84
21-08-2025,Dipka,Morning,600,588,12,396,4704,152.4,4986.58,2000,2048432,13962424,11913992,98,204,66,249.33,2389.21,410.79,2800,8.48,12.59,1.06,3.24,67.35,2986.58,85.33,0.94
21-08-2025,Dipka,Evening,600,540,60,396,4320,67.2,4440.52,2000,1836408,12433456,10597048,90,204,66,222.03,2386.44,413.56,2800,8.22,11.21,1.03,1.56,73.33,2440.52,85.23,0.97
22-08-2025,Dipka,Morning,600,540,60,396,4320,118.8,5514.49,2000,2261946,15440572,13178626,90,204,66,275.72,2389.82,410.18,2800,10.21,13.93,1.28,2.75,73.33,3514.49,85.35,0.78
03-12-2025,Dipka,Evening,600,492,108,336,3936,267.6,5617.54,2000,2308716,15729112,13420396,82,264,56,280.88,2389.02,410.98,2800,11.42,16.72,1.43,6.8,68.29,3617.54,85.32,0.7
07-12-2025,Kusmunda,Morning,600,528,72,360,4224,236.4,5162.94,2500,2896717,11358468,8461751,88,240,60,206.52,1638.94,561.06,2200,9.78,14.34,1.22,5.6,68.18,2662.94,74.5,0.82
