date,area,shift,coal_production_tonnes,target_production,critical_roles_present,total_wage_cost,Total_Cost_INR,Revenue_INR,Net_Profit_INR
07-01-2025,Dipka,Night,5464.94,2000,33,64050,2250026,15301832,13051806
07-01-2025,Kusmunda,Morning,5586.54,2500,35,54850,3127447,12290388,9162941
07-01-2025,Kusmunda,Evening,4628.58,2500,28,63300,2609019,10182876,7573857
07-01-2025,Kusmunda,Night,4575.8,2500,29,52400,2569090,10066760,7497670
07-01-2025,Korba,Morning,5020.14,1333,30,58500,1815549,9538266,7722717
07-01-2025,Korba,Evening,5191.65,1333,31,63300,1880377.5,9864135,7983757.5
07-01-2025,Korba,Night,5888.98,1333,34,57950,2119093,11189062,9069969
08-01-2025,Dipka,Morning,4696.55,2000,29,57850,1936470,13150340,11213870
08-01-2025,Dipka,Evening,5296.29,2000,33,52600,2171116,14829612,12658496
08-01-2025,Dipka,Night,5408.82,2000,33,57850,2221378,15144696,12923318
08-01-2025,Kusmunda,Morning,5160.72,2500,31,56150,2894546,11353584,8459038
08-01-2025,Kusmunda,Evening,5068.15,2500,31,58600,2846082.5,11149930,8303847.5
08-01-2025,Kusmunda,Night,5116.98,2500,32,57000,2871339,11257356,8386017
08-01-2025,Korba,Morning,4535.81,1333,27,56050,1643583.5,8618039,6974455.5
08-01-2025,Korba,Evening,4701.63,1333,29,57100,1702670.5,8933097,7230426.5
08-01-2025,Korba,Night,4617.61,1333,28,58700,1674863.5,8773459,7098595.5
09-01-2025,Dipka,Morning,4683.59,2000,29,58600,1932036,13114052,11182016
09-01-2025,Dipka,Evening,5511.69,2000,34,60850,2265526,15432732,13167206
09-01-2025,Dipka,Night,5484.63,2000,33,54200,2248052,15356964,13108912
09-01-2025,Kusmunda,Morning,5149.22,2500,32,53900,2885971,11328284,8442313
09-01-2025,Kusmunda,Evening,6285.3,2500,38,56550,3513465,13827660,10314195
09-01-2025,Kusmunda,Night,4527.49,2500,28,54650,2544769.5,9960478,7415708.5
09-01-2025,Korba,Morning,4576.59,1333,28,51550,1653356.5,8695521,7042164.5
09-01-2025,Korba,Evening,5011.98,1333,31,58400,1812593,9522762,7710169
09-01-2025,Korba,Night,5491.88,1333,33,56450,1978608,10434572,8455964
10-01-2025,Dipka,Morning,6278.3,2000,38,61050,2572370,17579240,15006870
10-01-2025,Dipka,Evening,5789.15,2000,35,59650,2375310,16209620,13834310
10-01-2025,Dipka,Night,4860.68,2000,30,53050,1997322,13609904,11612582
10-01-2025,Kusmunda,Morning,4320.06,2500,27,49650,2425683,9504132,7078449
10-01-2025,Kusmunda,Evening,5584.9,2500,35,58050,3129745,12286780,9157035
10-01-2025,Kusmunda,Night,4886.53,2500,29,60850,2748441.5,10750366,8001924.5
10-01-2025,Korba,Morning,3437.65,1333,21,57850,1261027.5,6531535,5270507.5
10-01-2025,Korba,Evening,4389.96,1333,28,58600,1595086,8340924,6745838
10-01-2025,Korba,Night,4366,1333,26,56250,1584350,8295400,6711050
11-01-2025,Dipka,Morning,5272.89,2000,32,57750,2166906,14764092,12597186
11-01-2025,Dipka,Evening,5552.98,2000,34,64900,2286092,15548344,13262252
11-01-2025,Dipka,Night,5387.44,2000,33,58600,2213576,15084832,12871256
11-01-2025,Kusmunda,Morning,5024.54,2500,31,55600,2819097,11053988,8234891
11-01-2025,Kusmunda,Evening,5527.71,2500,33,57000,3097240.5,12160962,9063721.5
11-01-2025,Kusmunda,Night,4522.13,2500,28,56250,2543421.5,9948686,7405264.5
11-01-2025,Korba,Morning,4575.74,1333,29,56450,1657959,8693906,7035947
11-01-2025,Korba,Evening,4458.36,1333,27,55500,1615926,8470884,6854958
11-01-2025,Korba,Night,4345.62,1333,26,50400,1571367,8256678,6685311
12-01-2025,Dipka,Morning,5363.47,2000,32,61500,2206888,15017716,12810828
12-01-2025,Dipka,Evening,5112.51,2000,30,58300,2103304,14315028,12211724
12-01-2025,Dipka,Night,5055.26,2000,30,58700,2080804,14154728,12073924
12-01-2025,Kusmunda,Morning,5365.52,2500,33,53350,3004386,11804144,8799758
12-01-2025,Kusmunda,Evening,5945.36,2500,36,55800,3325748,13079792,9754044
12-01-2025,Kusmunda,Night,4430.53,2500,28,53150,2489941.5,9747166,7257224.5
12-01-2025,Korba,Morning,4501.42,1333,27,57850,1633347,8552698,6919351
12-01-2025,Korba,Evening,4853.74,1333,30,57950,1756759,9222106,7465347
12-01-2025,Korba,Night,4412.49,1333,26,52950,1597321.5,8383731,6786409.5
13-01-2025,Dipka,Morning,6090.15,2000,37,55500,2491560,17052420,14560860
13-01-2025,Dipka,Evening,5486.68,2000,33,58400,2253072,15362704,13109632
13-01-2025,Dipka,Night,5193.61,2000,31,55300,2132744,14542108,12409364
13-01-2025,Kusmunda,Morning,5888.18,2500,36,55150,3293649,12953996,9660347
13-01-2025,Kusmunda,Evening,5560.62,2500,34,54950,3113291,12233364,9120073
13-01-2025,Kusmunda,Night,5269.37,2500,33,59450,2957603.5,11592614,8635010.5
13-01-2025,Korba,Morning,3542.64,1333,22,56800,1296724,6731016,5434292
13-01-2025,Korba,Evening,4328.06,1333,26,52850,1567671,8223314,6655643
13-01-2025,Korba,Night,5408.84,1333,33,66300,1959394,10276796,8317402
14-01-2025,Dipka,Morning,5245.73,2000,31,58700,2156992,14688044,12531052
14-01-2025,Dipka,Evening,6280.55,2000,38,58600,2570820,17585540,15014720
14-01-2025,Dipka,Night,4429.37,2000,27,49000,1820748,12402236,10581488
14-01-2025,Kusmunda,Morning,4687.98,2500,28,52400,2630789,10313556,7682767
14-01-2025,Kusmunda,Evening,5028.26,2500,30,57950,2823493,11062172,8238679
14-01-2025,Kusmunda,Night,5590.28,2500,35,56550,3131204,12298616,9167412
14-01-2025,Korba,Morning,3955.01,1333,24,53050,1437303.5,7514519,6077215.5
14-01-2025,Korba,Evening,4898.75,1333,30,54550,1769112.5,9307625,7538512.5
14-01-2025,Korba,Night,4705.03,1333,28,61150,1707910.5,8939557,7231646.5
15-01-2025,Dipka,Morning,5979.35,2000,35,59250,2450990,16742180,14291190
15-01-2025,Dipka,Evening,6278.61,2000,39,59350,2570794,17580108,15009314
15-01-2025,Dipka,Night,4178.04,2000,27,52950,1724166,11698512,9974346
15-01-2025,Kusmunda,Morning,5478.09,2500,33,57200,3070149.5,12051798,8981648.5
15-01-2025,Kusmunda,Evening,6166.57,2500,37,51750,3443363.5,13566454,10123090.5
15-01-2025,Kusmunda,Night,5012.37,2500,31,59250,2816053.5,11027214,8211160.5
15-01-2025,Korba,Morning,5498.43,1333,33,56350,1980800.5,10447017,8466216.5
15-01-2025,Korba,Evening,4954.03,1333,30,55500,1789410.5,9412657,7623246.5
15-01-2025,Korba,Night,5119.88,1333,31,53150,1845108,9727772,7882664
16-01-2025,Dipka,Morning,5808.66,2000,36,51550,2375014,16264248,13889234
16-01-2025,Dipka,Evening,5404.26,2000,32,57000,2218704,15131928,12913224
16-01-2025,Dipka,Night,5515.41,2000,32,55700,2261864,15443148,13181284
16-01-2025,Kusmunda,Morning,5052.42,2500,31,53250,2832081,11115324,8283243
16-01-2025,Kusmunda,Evening,5293.55,2500,33,59550,2971002.5,11645810,8674807.5
16-01-2025,Kusmunda,Night,5215.4,2500,32,52300,2920770,11473880,8553110
16-01-2025,Korba,Morning,4292.02,1333,25,60300,1562507,8154838,6592331
16-01-2025,Korba,Evening,4221.31,1333,26,60950,1538408.5,8020489,6482080.5
16-01-2025,Korba,Night,4985.62,1333,30,60200,1805167,9472678,7667511
17-01-2025,Dipka,Morning,4657.57,2000,28,59450,1922478,13041196,11118718
17-01-2025,Dipka,Evening,4639.53,2000,29,58400,1914212,12990684,11076472
17-01-2025,Dipka,Night,5445.18,2000,33,53250,2231322,15246504,13015182
17-01-2025,Kusmunda,Morning,4989.49,2500,30,56450,2800669.5,10976878,8176208.5
17-01-2025,Kusmunda,Evening,5611.2,2500,33,57200,3143360,12344640,9201280
17-01-2025,Kusmunda,Night,4512.26,2500,27,53900,2535643,9926972,7391329
17-01-2025,Korba,Morning,3498.47,1333,21,54450,1278914.5,6647093,5368178.5
17-01-2025,Korba,Evening,5588.54,1333,34,57850,2013839,10618226,8604387
17-01-2025,Korba,Night,4642.9,1333,28,55400,1680415,8821510,7141095
18-01-2025,Dipka,Morning,5445.72,2000,33,55400,2233688,15248016,13014328
18-01-2025,Dipka,Evening,5164.24,2000,32,54650,2120346,14459872,12339526
18-01-2025,Dipka,Night,4889.5,2000,29,55500,2011300,13690600,11679300
18-01-2025,Kusmunda,Morning,5321.28,2500,33,59250,2985954,11706816,8720862
18-01-2025,Kusmunda,Evening,5357.61,2500,32,56900,3003585.5,11786742,8783156.5
18-01-2025,Kusmunda,Night,4693.86,2500,29,58600,2640223,10326492,7686269
18-01-2025,Korba,Morning,5021.01,1333,30,57850,1815203.5,9539919,7724715.5
18-01-2025,Korba,Evening,4593.58,1333,28,53250,1661003,8727802,7066799
18-01-2025,Korba,Night,4570.08,1333,27,55600,1655128,8683152,7028024
19-01-2025,Dipka,Morning,5338.92,2000,33,57850,2193418,14948976,12755558
19-01-2025,Dipka,Evening,5085,2000,31,59450,2093450,14238000,12144550
19-01-2025,Dipka,Night,5332.9,2000,33,60300,2193460,14932120,12738660
19-01-2025,Kusmunda,Morning,5186.04,2500,31,53350,2905672,11409288,8503616
19-01-2025,Kusmunda,Evening,5431.21,2500,33,53250,3040415.5,11948662,8908246.5
19-01-2025,Kusmunda,Night,6210.81,2500,37,57300,3473245.5,13663782,10190536.5
19-01-2025,Korba,Morning,4779.96,1333,29,60000,1732986,9081924,7348938
19-01-2025,Korba,Evening,4739.82,1333,29,57850,1716787,9005658,7288871
19-01-2025,Korba,Night,4373.84,1333,26,50050,1580894,8310296,6729402
20-01-2025,Dipka,Morning,5014.23,2000,29,55500,2061192,14039844,11978652
20-01-2025,Dipka,Evening,4775.29,2000,29,54000,1964116,13370812,11406696
20-01-2025,Dipka,Night,5569.46,2000,34,55600,2283384,15594488,13311104
20-01-2025,Kusmunda,Morning,4925.96,2500,30,54000,2763278,10837112,8073834
20-01-2025,Kusmunda,Evening,5232.09,2500,32,55400,2933049.5,11510598,8577548.5
20-01-2025,Kusmunda,Night,4558.92,2500,28,56350,2563756,10029624,7465868
20-01-2025,Korba,Morning,4732.3,1333,29,54000,1710305,8991370,7281065
20-01-2025,Korba,Evening,5080.84,1333,31,59550,1837844,9653596,7815752
20-01-2025,Korba,Night,5268.73,1333,32,56150,1900205.5,10010587,8110381.5
21-01-2025,Dipka,Morning,5717.52,2000,34,60300,2347308,16009056,13661748
21-01-2025,Dipka,Evening,5115.22,2000,30,54000,2100088,14322616,12222528
21-01-2025,Dipka,Night,4805.09,2000,29,57100,1979136,13454252,11475116
21-01-2025,Kusmunda,Morning,5584.21,2500,34,55500,3126815.5,12285262,9158446.5
21-01-2025,Kusmunda,Evening,5536.3,2500,34,56900,3101865,12179860,9077995
21-01-2025,Kusmunda,Night,5461.57,2500,34,55600,3059463.5,12015454,8955990.5
21-01-2025,Korba,Morning,4777.11,1333,29,50900,1722888.5,9076509,7353620.5
21-01-2025,Korba,Evening,5751.64,1333,34,57400,2070474,10928116,8857642
21-01-2025,Korba,Night,4287.91,1333,27,55300,1556068.5,8147029,6590960.5
22-01-2025,Dipka,Morning,5661.14,2000,34,57100,2321556,15851192,13529636
22-01-2025,Dipka,Evening,5779.37,2000,35,57200,2368948,16182236,13813288
22-01-2025,Dipka,Night,5992.98,2000,36,59650,2456842,16780344,14323502
22-01-2025,Kusmunda,Morning,5935.7,2500,36,63400,3328035,13058540,9730505
22-01-2025,Kusmunda,Evening,5585.41,2500,34,53250,3125225.5,12287902,9162676.5
22-01-2025,Kusmunda,Night,4828.8,2500,30,53900,2709740,10623360,7913620
22-01-2025,Korba,Morning,4522.53,1333,27,50600,1633485.5,8592807,6959321.5
22-01-2025,Korba,Evening,4942.69,1333,30,57000,1786941.5,9391111,7604169.5
22-01-2025,Korba,Night,5331.06,1333,32,57750,1923621,10129014,8205393
23-01-2025,Dipka,Morning,5279.18,2000,32,53900,2165572,14781704,12616132
23-01-2025,Dipka,Evening,5223.21,2000,32,54750,2144034,14624988,12480954
23-01-2025,Dipka,Night,5636.53,2000,33,53800,2308412,15782284,13473872
23-01-2025,Kusmunda,Morning,6097.66,2500,37,61900,3415613,13414852,9999239
23-01-2025,Kusmunda,Evening,4618.99,2500,28,54100,2594544.5,10161778,7567233.5
23-01-2025,Kusmunda,Night,5086.15,2500,31,54100,2851482.5,11189530,8338047.5
23-01-2025,Korba,Morning,4870.57,1333,30,57300,1761999.5,9254083,7492083.5
23-01-2025,Korba,Evening,4757.1,1333,29,55400,1720385,9038490,7318105
23-01-2025,Korba,Night,4679.69,1333,29,56350,1694241.5,8891411,7197169.5
24-01-2025,Dipka,Morning,5457.03,2000,33,53800,2236612,15279684,13043072
24-01-2025,Dipka,Evening,5014.26,2000,31,54000,2059704,14039928,11980224
24-01-2025,Dipka,Night,4868.1,2000,30,58600,2005840,13630680,11624840
24-01-2025,Kusmunda,Morning,4222.72,2500,26,56150,2378646,9289984,6911338
24-01-2025,Kusmunda,Evening,4886.43,2500,30,50900,2738436.5,10750146,8011709.5
24-01-2025,Kusmunda,Night,5274.41,2500,31,54450,2955375.5,11603702,8648326.5
24-01-2025,Korba,Morning,4999.52,1333,30,55600,1805432,9499088,7693656
24-01-2025,Korba,Evening,5040.8,1333,31,56350,1820630,9577520,7756890
24-01-2025,Korba,Night,5560.08,1333,33,57950,2003978,10564152,8560174
25-01-2025,Dipka,Morning,5360.66,2000,32,60300,2204564,15009848,12805284
25-01-2025,Dipka,Evening,5156.58,2000,31,55800,2118432,14438424,12319992
25-01-2025,Dipka,Night,5741.79,2000,34,59350,2356066,16077012,13720946
25-01-2025,Kusmunda,Morning,4953.49,2500,30,53900,2778319.5,10897678,8119358.5
25-01-2025,Kusmunda,Evening,5221.97,2500,31,58800,2930883.5,11488334,8557450.5
25-01-2025,Kusmunda,Night,6008,2500,37,54200,3358600,13217600,9859000
25-01-2025,Korba,Morning,4317.32,1333,27,56900,1567962,8202908,6634946
25-01-2025,Korba,Evening,4368.8,1333,27,60200,1589280,8300720,6711440
25-01-2025,Korba,Night,4717.5,1333,29,60100,1711225,8963250,7252025
26-01-2025,Dipka,Morning,5390.41,2000,33,57750,2213914,15093148,12879234
26-01-2025,Dipka,Evening,5636.94,2000,34,56350,2311126,15783432,13472306
26-01-2025,Dipka,Night,5093.28,2000,32,55600,2092912,14261184,12168272
26-01-2025,Kusmunda,Morning,4697.55,2500,29,49200,2632852.5,10334610,7701757.5
26-01-2025,Kusmunda,Evening,5292.55,2500,32,54100,2965002.5,11643610,8678607.5
26-01-2025,Kusmunda,Night,5645.73,2500,35,51850,3157001.5,12420606,9263604.5
26-01-2025,Korba,Morning,5916.52,1333,36,54850,2125632,11241388,9115756
26-01-2025,Korba,Evening,4084.68,1333,24,54650,1484288,7760892,6276604
26-01-2025,Korba,Night,3324.6,1333,21,54000,1217610,6316740,5099130
27-01-2025,Dipka,Morning,4767.85,2000,30,52100,1959240,13349980,11390740
27-01-2025,Dipka,Evening,5556.85,2000,33,57650,2280390,15559180,13278790
27-01-2025,Dipka,Night,5806.83,2000,36,58150,2380882,16259124,13878242
27-01-2025,Kusmunda,Morning,5715.52,2500,34,57750,3201286,12574144,9372858
27-01-2025,Kusmunda,Evening,5477.84,2500,33,54950,3067762,12051248,8983486
27-01-2025,Kusmunda,Night,5212.01,2500,31,53250,2919855.5,11466422,8546566.5
27-01-2025,Korba,Morning,4973.18,1333,29,60100,1800713,9449042,7648329
27-01-2025,Korba,Evening,3971.87,1333,24,50700,1440854.5,7546553,6105698.5
27-01-2025,Korba,Night,4488.41,1333,27,60200,1631143.5,8527979,6896835.5
28-01-2025,Dipka,Morning,4700.71,2000,29,61700,1941984,13161988,11220004
28-01-2025,Dipka,Evening,5977.59,2000,36,60300,2451336,16737252,14285916
28-01-2025,Dipka,Night,5537.65,2000,34,60000,2275060,15505420,13230360
28-01-2025,Kusmunda,Morning,6707.46,2500,40,57300,3746403,14756412,11010009
28-01-2025,Kusmunda,Evening,5966.27,2500,36,55500,3336948.5,13125794,9788845.5
28-01-2025,Kusmunda,Night,4168.76,2500,26,53150,2345968,9171272,6825304
28-01-2025,Korba,Morning,4553.89,1333,28,53800,1647661.5,8652391,7004729.5
28-01-2025,Korba,Evening,5097.35,1333,31,60300,1844372.5,9684965,7840592.5
28-01-2025,Korba,Night,4922.85,1333,30,59450,1782447.5,9353415,7570967.5
29-01-2025,Dipka,Morning,5571.42,2000,34,57200,2285768,15599976,13314208
29-01-2025,Dipka,Evening,5493.09,2000,33,59550,2256786,15380652,13123866
29-01-2025,Dipka,Night,5760.85,2000,35,63850,2368190,16130380,13762190
29-01-2025,Kusmunda,Morning,4685.38,2500,29,51350,2628309,10307836,7679527
29-01-2025,Kusmunda,Evening,5716.28,2500,34,51550,3195504,12575816,9380312
29-01-2025,Kusmunda,Night,4994.25,2500,30,49950,2796787.5,10987350,8190562.5
29-01-2025,Korba,Morning,5161.94,1333,32,57750,1864429,9807686,7943257
29-01-2025,Korba,Evening,4415.54,1333,27,54650,1600089,8389526,6789437
29-01-2025,Korba,Night,4614.45,1333,29,55600,1670657.5,8767455,7096797.5
30-01-2025,Dipka,Morning,5763.88,2000,34,61900,2367452,16138864,13771412
30-01-2025,Dipka,Evening,5810.18,2000,35,58700,2382772,16268504,13885732
30-01-2025,Dipka,Night,4805.13,2000,29,54450,1976502,13454364,11477862
30-01-2025,Kusmunda,Morning,6206.24,2500,38,58050,3471482,13653728,10182246
30-01-2025,Kusmunda,Evening,4947.95,2500,31,52300,2773672.5,10885490,8111817.5
30-01-2025,Kusmunda,Night,5624.82,2500,33,56150,3149801,12374604,9224803
30-01-2025,Korba,Morning,5147.66,1333,32,60300,1861981,9780554,7918573
30-01-2025,Korba,Evening,4667.32,1333,29,60100,1693662,8867908,7174246
30-01-2025,Korba,Night,5095.89,1333,32,58500,1842061.5,9682191,7840129.5
31-01-2025,Dipka,Morning,3911.11,2000,24,51350,1615794,10951108,9335314
31-01-2025,Dipka,Evening,5292.74,2000,32,54650,2171746,14819672,12647926
31-01-2025,Dipka,Night,5931.81,2000,35,57950,2430674,16609068,14178394
31-01-2025,Kusmunda,Morning,5604.95,2500,34,57850,3140572.5,12330890,9190317.5
31-01-2025,Kusmunda,Evening,3987.94,2500,25,49100,2242467,8773468,6531001
31-01-2025,Kusmunda,Night,6444.77,2500,39,55800,3600423.5,14178494,10578070.5
31-01-2025,Korba,Morning,4964.82,1333,29,56800,1794487,9433158,7638671
31-01-2025,Korba,Evening,4125.75,1333,25,57850,1501862.5,7838925,6337062.5
31-01-2025,Korba,Night,4235.34,1333,25,53800,1536169,8047146,6510977
01-02-2025,Dipka,Morning,5423.75,2000,33,58700,2228200,15186500,12958300
01-02-2025,Dipka,Evening,4839.73,2000,29,57650,1993542,13551244,11557702
01-02-2025,Dipka,Night,5433.62,2000,34,62550,2235998,15214136,12978138
01-02-2025,Kusmunda,Morning,5108.59,2500,31,47700,2857424.5,11238898,8381473.5
01-02-2025,Kusmunda,Evening,5459.29,2500,33,59450,3062059.5,12010438,8948378.5
01-02-2025,Kusmunda,Night,4686.06,2500,29,55600,2632933,10309332,7676399
01-02-2025,Korba,Morning,5402.69,1333,33,55400,1946341.5,10265111,8318769.5
01-02-2025,Korba,Evening,5431.03,1333,33,59550,1960410.5,10318957,8358546.5
01-02-2025,Korba,Night,4923.41,1333,29,57000,1780193.5,9354479,7574285.5
02-02-2025,Dipka,Morning,4974.37,2000,29,49850,2039598,13928236,11888638
02-02-2025,Dipka,Evening,4972.31,2000,31,54450,2043374,13922468,11879094
02-02-2025,Dipka,Night,5681.89,2000,34,60950,2333706,15909292,13575586
02-02-2025,Kusmunda,Morning,5234.4,2500,31,52400,2931320,11515680,8584360
02-02-2025,Kusmunda,Evening,5589.02,2500,34,51650,3125611,12295844,9170233
02-02-2025,Kusmunda,Night,5482.25,2500,33,54200,3069437.5,12060950,8991512.5
02-02-2025,Korba,Morning,4553.37,1333,28,58400,1652079.5,8651403,6999323.5
02-02-2025,Korba,Evening,5116.48,1333,30,52500,1843268,9721312,7878044
02-02-2025,Korba,Night,5463.17,1333,33,62550,1974659.5,10380023,8405363.5
03-02-2025,Dipka,Morning,5555.71,2000,34,57000,2279284,15555988,13276704
03-02-2025,Dipka,Evening,5299.08,2000,32,57950,2177582,14837424,12659842
03-02-2025,Dipka,Night,5056.26,2000,31,52950,2075454,14157528,12082074
03-02-2025,Kusmunda,Morning,6147.76,2500,38,55600,3436868,13525072,10088204
03-02-2025,Kusmunda,Evening,5735.63,2500,34,52400,3206996.5,12618386,9411389.5
03-02-2025,Kusmunda,Night,5992.7,2500,36,59150,3355135,13183940,9828805
03-02-2025,Korba,Morning,6079.59,1333,36,60950,2188806.5,11551221,9362414.5
03-02-2025,Korba,Evening,5525.19,1333,33,52950,1986766.5,10497861,8511094.5
03-02-2025,Korba,Night,4422.02,1333,27,53150,1600857,8401838,6800981
04-02-2025,Dipka,Morning,5804.08,2000,35,59450,2381082,16251424,13870342
04-02-2025,Dipka,Evening,4890.19,2000,31,53150,2009226,13692532,11683306
04-02-2025,Dipka,Night,5577.74,2000,33,59250,2290346,15617672,13327326
04-02-2025,Kusmunda,Morning,5181.85,2500,31,56900,2906917.5,11400070,8493152.5
04-02-2025,Kusmunda,Evening,4259.72,2500,27,54550,2397396,9371384,6973988
04-02-2025,Kusmunda,Night,4936.12,2500,31,61900,2776766,10859464,8082698
04-02-2025,Korba,Morning,5081.69,1333,30,58400,1836991.5,9655211,7818219.5
04-02-2025,Korba,Evening,4479.17,1333,27,57000,1624709.5,8510423,6885713.5
04-02-2025,Korba,Night,5105.47,1333,32,59550,1846464.5,9700393,7853928.5
05-02-2025,Dipka,Morning,5629.43,2000,34,56350,2308122,15762404,13454282
05-02-2025,Dipka,Evening,5007.88,2000,31,59550,2062702,14022064,11959362
05-02-2025,Dipka,Night,5357.2,2000,32,57100,2199980,15000160,12800180
05-02-2025,Kusmunda,Morning,5036.6,2500,31,56150,2826280,11080520,8254240
05-02-2025,Kusmunda,Evening,6506.34,2500,39,63400,3641887,14313948,10672061
05-02-2025,Kusmunda,Night,5500.6,2500,33,56900,3082230,12101320,9019090
05-02-2025,Korba,Morning,4310.95,1333,26,57750,1566582.5,8190805,6624222.5
05-02-2025,Korba,Evening,5881.93,1333,36,59550,2118225.5,11175667,9057441.5
05-02-2025,Korba,Night,4264.28,1333,26,51750,1544248,8102132,6557884
06-02-2025,Dipka,Morning,5953.93,2000,36,59250,2440822,16671004,14230182
06-02-2025,Dipka,Evening,5778.38,2000,35,56150,2367502,16179464,13811962
06-02-2025,Dipka,Night,4988.48,2000,30,57100,2052492,13967744,11915252
06-02-2025,Kusmunda,Morning,5939.34,2500,36,54400,3321037,13066548,9745511
