date,area,shift,total_assigned,total_present,total_absent,critical_present,total_work_hours,total_overtime_hours,coal_production_tonnes,target_production,total_cost_inr,revenue_inr,net_profit_inr
04-10-2025,Kusmunda,Evening,600,540,60,348,4320,199.2,4825.68,2500,2708024,10616496,7908472
05-10-2025,Kusmunda,Evening,600,564,36,432,4512,111.6,4589.41,2500,2572625.5,10096702,7524076.5
06-10-2025,Dipka,Night,600,528,72,432,4224,40.8,5785.38,2000,2369552,16199064,13829512
06-10-2025,Kusmunda,Evening,600,552,48,384,4416,102,5255.64,2500,2943852,11562408,8618556
18-01-2025,Korba,Evening,600,528,72,372,4224,30,4593.58,1333,1661003,8727802,7066799
19-01-2025,Korba,Night,600,528,72,360,4224,104.4,4373.84,1333,1580894,8310296,6729402
22-01-2025,Dipka,Evening,600,552,48,384,4416,196.8,5779.37,2000,2368948,16182236,13813288
22-01-2025,Dipka,Night,600,540,60,384,4320,112.8,5992.98,2000,2456842,16780344,14323502
23-01-2025,Korba,Morning,600,552,48,348,4416,117.6,4870.57,1333,1761999.5,9254083,7492083.5
25-01-2025,Dipka,Evening,600,552,48,384,4416,192,5156.58,2000,2118432,14438424,12319992
26-01-2025,Korba,Evening,600,564,36,444,4512,186,4084.68,1333,1484288,7760892,6276604
27-01-2025,Dipka,Evening,600,528,72,312,4224,67.2,5556.85,2000,2280390,15559180,13278790
14-05-2025,Kusmunda,Morning,600,540,60,360,4320,205.2,5779.25,2500,3234487.5,12714350,9479862.5
15-05-2025,Dipka,Morning,600,528,72,420,4224,290.4,5166.26,2000,2123604,14465528,12341924
18-05-2025,Kusmunda,Night,600,516,84,324,4128,228,4815.91,2500,2705000.5,10595002,7890001.5
19-05-2025,Dipka,Night,600,552,48,384,4416,117.6,5238.51,2000,2153904,14667828,12513924
19-05-2025,Kusmunda,Evening,600,480,120,336,3840,187.2,5055.52,2500,2836886,11122144,8285258
30-08-2025,Korba,Evening,600,564,36,420,4512,165.6,4996.98,1333,1804543,9494262,7689719
31-08-2025,Dipka,Night,600,528,72,396,4224,108,5367.03,2000,2204012,15027684,12823672
31-08-2025,Kusmunda,Evening,600,528,72,312,4224,136.8,4887.5,2500,2743625,10752500,8008875
03-09-2025,Dipka,Night,600,564,36,384,4512,312,4612.49,2000,1905096,12914972,11009876
03-09-2025,Kusmunda,Evening,600,540,60,432,4320,225.6,6059.89,2500,3390989.5,13331758,9940768.5
05-09-2025,Kusmunda,Morning,600,552,48,384,4416,120,5336.27,2500,2989048.5,11739794,8750745.5
08-09-2025,Kusmunda,Night,600,564,36,360,4512,73.2,6395.17,2500,3576243.5,14069374,10493130.5
22-12-2025,Dipka,Morning,600,540,60,420,4320,51.6,5887.78,2000,2415412,16485784,14070372
23-12-2025,Dipka,Night,600,564,36,420,4512,151.2,5287.38,2000,2172702,14804664,12631962
25-12-2025,Korba,Morning,600,504,96,384,4032,56.4,5168.44,1333,1865404,9820036,7954632
28-12-2025,Kusmunda,Morning,600,540,60,420,4320,60,5248.32,2500,2942076,11546304,8604228
28-12-2025,Kusmunda,Evening,600,564,36,372,4512,289.2,5838.5,2500,3263025,12844700,9581675
29-12-2025,Korba,Morning,600,528,72,396,4224,145.2,4613.26,1333,1672041,8765194,7093153
12-04-2025,Dipka,Evening,600,492,108,348,3936,96,4603.68,2000,1891222,12890304,10999082
12-04-2025,Korba,Night,600,504,96,408,4032,85.2,4731.25,1333,1711337.5,8989375,7278037.5
14-04-2025,Korba,Morning,600,552,48,420,4416,219.6,4714.93,1333,1707225.5,8958367,7251141.5
15-04-2025,Korba,Evening,600,504,96,360,4032,49.2,5206.08,1333,1883178,9891552,8008374
15-04-2025,Korba,Night,600,564,36,408,4512,145.2,3659.85,1333,1340097.5,6953715,5613617.5
16-04-2025,Kusmunda,Night,600,552,48,336,4416,103.2,5571.77,2500,3124673.5,12257894,9133220.5
17-04-2025,Korba,Night,600,564,36,348,4512,243.6,4042.33,1333,1472565.5,7680427,6207861.5
18-04-2025,Dipka,Morning,600,552,48,348,4416,70.8,5696.82,2000,2337228,15951096,13613868
18-04-2025,Dipka,Evening,600,564,36,396,4512,157.2,5460.35,2000,2242640,15288980,13046340
18-04-2025,Kusmunda,Morning,600,540,60,396,4320,165.6,5120.15,2500,2867632.5,11264330,8396697.5
19-04-2025,Korba,Morning,600,564,36,396,4512,129.6,5488.62,1333,1978217,10428378,8450161
19-04-2025,Korba,Evening,600,540,60,360,4320,213.6,4272.21,1333,1551623.5,8117199,6565575.5
20-04-2025,Kusmunda,Night,600,540,60,324,4320,162,5953.22,2500,3326871,13097084,9770213
03-08-2025,Kusmunda,Evening,600,564,36,420,4512,267.6,4871.89,2500,2732589.5,10718158,7985568.5
04-08-2025,Korba,Morning,600,516,84,360,4128,134.4,5617.04,1333,2023264,10672376,8649112
05-08-2025,Dipka,Night,600,540,60,360,4320,190.8,5818.98,2000,2384592,16293144,13908552
05-08-2025,Kusmunda,Evening,600,552,48,360,4416,159.6,4526.98,2500,2546289,9959356,7413067
06-08-2025,Dipka,Evening,600,540,60,408,4320,258,5869.84,2000,2409936,16435552,14025616
06-08-2025,Korba,Night,600,552,48,396,4416,10.8,4749.19,1333,1716116.5,9023461,7307344.5
08-08-2025,Dipka,Morning,600,564,36,432,4512,120,4357.01,2000,1798954,12199628,10400674
08-08-2025,Korba,Evening,600,552,48,384,4416,123.6,5390.01,1333,1943503.5,10241019,8297515.5
09-08-2025,Dipka,Night,600,552,48,396,4416,278.4,5453.4,2000,2234610,15269520,13034910
09-08-2025,Kusmunda,Morning,600,588,12,396,4704,188.4,5598.67,2500,3134868.5,12317074,9182205.5
11-08-2025,Dipka,Evening,600,552,48,408,4416,128.4,4808.62,2000,1977348,13464136,11486788
14-04-2025,Korba,Morning,600,552,48,420,4416,219.6,4714.93,1333,1707225.5,8958367,7251141.5
15-04-2025,Korba,Evening,600,504,96,360,4032,49.2,5206.08,1333,1883178,9891552,8008374
15-04-2025,Korba,Night,600,564,36,408,4512,145.2,3659.85,1333,1340097.5,6953715,5613617.5
16-04-2025,Kusmunda,Night,600,552,48,336,4416,103.2,5571.77,2500,3124673.5,12257894,9133220.5
17-04-2025,Korba,Night,600,564,36,348,4512,243.6,4042.33,1333,1472565.5,7680427,6207861.5
18-04-2025,Dipka,Morning,600,552,48,348,4416,70.8,5696.82,2000,2337228,15951096,13613868
18-04-2025,Dipka,Evening,600,564,36,396,4512,157.2,5460.35,2000,2242640,15288980,13046340
18-04-2025,Kusmunda,Morning,600,540,60,396,4320,165.6,5120.15,2500,2867632.5,11264330,8396697.5
19-04-2025,Korba,Morning,600,564,36,396,4512,129.6,5488.62,1333,1978217,10428378,8450161
19-04-2025,Korba,Evening,600,540,60,360,4320,213.6,4272.21,1333,1551623.5,8117199,6565575.5
20-04-2025,Kusmunda,Night,600,540,60,324,4320,162,5953.22,2500,3326871,13097084,9770213
04-08-2025,Korba,Morning,600,516,84,360,4128,134.4,5617.04,1333,2023264,10672376,8649112
05-08-2025,Dipka,Night,600,540,60,360,4320,190.8,5818.98,2000,2384592,16293144,13908552
05-08-2025,Kusmunda,Evening,600,552,48,360,4416,159.6,4526.98,2500,2546289,9959356,7413067
06-08-2025,Dipka,Evening,600,540,60,408,4320,258,5869.84,2000,2409936,16435552,14025616
06-08-2025,Korba,Night,600,552,48,396,4416,10.8,4749.19,1333,1716116.5,9023461,7307344.5
08-08-2025,Dipka,Morning,600,564,36,432,4512,120,4357.01,2000,1798954,12199628,10400674
08-08-2025,Korba,Evening,600,552,48,384,4416,123.6,5390.01,1333,1943503.5,10241019,8297515.5
09-08-2025,Dipka,Night,600,552,48,396,4416,278.4,5453.4,2000,2234610,15269520,13034910
09-08-2025,Kusmunda,Morning,600,588,12,396,4704,188.4,5598.67,2500,3134868.5,12317074,9182205.5
11-08-2025,Dipka,Evening,600,552,48,408,4416,128.4,4808.62,2000,1977348,13464136,11486788
12-08-2025,Dipka,Night,600,576,24,432,4608,164.4,6370.46,2000,2610734,17837288,15226554
01-01-2025,Dipka,Night,600,588,12,408,4704,186,5092.87,2000,2094048,14260036,12165988
03-01-2025,Korba,Morning,600,528,72,396,4224,97.2,4621.09,1333,1673731.5,8780071,7106339.5
03-01-2025,Korba,Evening,600,540,60,348,4320,90,5041.17,1333,1821509.5,9578223,7756713.5
05-01-2025,Dipka,Evening,600,504,96,324,4032,243.6,5451.18,2000,2238522,15263304,13024782
06-01-2025,Dipka,Night,600,528,72,408,4224,154.8,5699.09,2000,2335336,15957452,13622116
06-01-2025,Korba,Evening,600,576,24,432,4608,88.8,4054.29,1333,1475151.5,7703151,6227999.5
07-01-2025,Kusmunda,Night,600,552,48,360,4416,204,4575.8,2500,2569090,10066760,7497670
07-01-2025,Korba,Night,600,540,60,432,4320,181.2,5888.98,1333,2119093,11189062,9069969
08-01-2025,Kusmunda,Evening,600,588,12,372,4704,25.2,5068.15,2500,2846082.5,11149930,8303847.5
08-01-2025,Korba,Evening,600,552,48,432,4416,91.2,4701.63,1333,1702670.5,8933097,7230426.5
23-04-2025,Kusmunda,Night,600,528,72,348,4224,182.4,5372.45,2500,3002647.5,11819390,8816742.5
23-04-2025,Korba,Night,600,564,36,432,4512,81.6,4235.61,1333,1535613.5,8047659,6512045.5
30-04-2025,Kusmunda,Night,600,552,48,336,4416,172.8,5173.36,2500,2903398,11381392,8477994
30-04-2025,Korba,Night,600,576,24,396,4608,139.2,4371.39,1333,1586436.5,8305641,6719204.5
01-05-2025,Dipka,Evening,600,540,60,420,4320,265.2,5008.84,2000,2060436,14024752,11964316
02-05-2025,Dipka,Night,600,540,60,408,4320,172.8,6293.2,2000,2575230,17620960,15045730
17-08-2025,Korba,Night,600,540,60,420,4320,241.2,4934.15,1333,1784052.5,9374885,7590832.5
18-08-2025,Kusmunda,Evening,600,540,60,348,4320,146.4,5458.42,2500,3056681,12008524,8951843
20-08-2025,Korba,Night,600,552,48,348,4416,90,5230.97,1333,1892439.5,9938843,8046403.5
21-08-2025,Dipka,Morning,600,588,12,396,4704,152.4,4986.58,2000,2048432,13962424,11913992
21-08-2025,Dipka,Evening,600,540,60,396,4320,67.2,4440.52,2000,1836408,12433456,10597048
22-08-2025,Dipka,Morning,600,540,60,396,4320,118.8,5514.49,2000,2261946,15440572,13178626
03-12-2025,Dipka,Evening,600,492,108,336,3936,267.6,5617.54,2000,2308716,15729112,13420396
07-12-2025,Kusmunda,Morning,600,528,72,360,4224,236.4,5162.94,2500,2896717,11358468,8461751
07-12-2025,Kusmunda,Evening,600,552,48,372,4416,310.8,5686.78,2500,3182029,12510916,9328887
11-12-2025,Korba,Morning,600,480,120,348,3840,118.8,5591.9,1333,2018015,10624610,8606595
25-03-2025,Korba,Morning,600,552,48,432,4416,150,3978.17,1333,1446059.5,7558523,6112463.5
27-03-2025,Korba,Evening,600,564,36,408,4512,111.6,4455.83,1333,1610890.5,8466077,6855186.5
29-03-2025,Dipka,Morning,600,552,48,396,4416,223.2,4835,2000,1987150,13538000,11550850
31-03-2025,Korba,Night,600,564,36,408,4512,99.6,5356.79,1333,1924826.5,10177901,8253074.5
02-04-2025,Kusmunda,Evening,600,540,60,372,4320,24,4965.61,2500,2787335.5,10924342,8137006.5
15-07-2025,Dipka,Night,600,516,84,396,4128,195.6,4298.7,2000,1772530,12036360,10263830
18-07-2025,Kusmunda,Morning,600,504,96,312,4032,224.4,5522.78,2500,3096329,12150116,9053787
18-07-2025,Kusmunda,Night,600,552,48,336,4416,54,5670.84,2500,3174662,12475848,9301186
19-07-2025,Dipka,Evening,600,516,84,336,4128,104.4,5549.77,2000,2278608,15539356,13260748
20-07-2025,Korba,Evening,600,528,72,408,4224,104.4,4340.77,1333,1580119.5,8247463,6667343.5
22-07-2025,Korba,Evening,600,516,84,360,4128,218.4,4262.52,1333,1551232,8098788,6547556
04-11-2025,Korba,Evening,600,552,48,360,4416,232.8,4630.23,1333,1679180.5,8797437,7118256.5
06-11-2025,Kusmunda,Night,600,492,108,336,3936,126,4531.59,2500,2550224.5,9969498,7419273.5
06-11-2025,Korba,Night,600,540,60,408,4320,181.2,4137.25,1333,1501837.5,7860775,6358937.5
07-11-2025,Dipka,Morning,600,504,96,360,4032,108,5217.49,2000,2142296,14608972,12466676
09-11-2025,Kusmunda,Night,600,540,60,336,4320,81.6,5630.14,2500,3150677,12386308,9235631
09-11-2025,Korba,Morning,600,516,84,396,4128,170.4,4874.11,1333,1759188.5,9260809,7501620.5
09-11-2025,Korba,Night,600,540,60,384,4320,165.6,5058.45,1333,1828307.5,9611055,7782747.5
10-11-2025,Kusmunda,Morning,600,516,84,348,4128,225.6,4962.66,2500,2785063,10917852,8132789
10-11-2025,Kusmunda,Evening,600,540,60,372,4320,186,5438.14,2500,3046927,11963908,8916981
11-11-2025,Kusmunda,Evening,600,480,120,276,3840,247.2,5316.19,2500,2979404.5,11695618,8716213.5
12-11-2025,Korba,Night,600,540,60,396,4320,306,4667.11,1333,1690588.5,8867509,7176920.5
25-02-2025,Korba,Night,600,564,36,372,4512,145.2,4493.83,1333,1631340.5,8538277,6906936.5
27-02-2025,Kusmunda,Morning,600,552,48,384,4416,214.8,5513.03,2500,3093866.5,12128666,9034799.5
27-02-2025,Korba,Evening,600,528,72,360,4224,249.6,4668.66,1333,1695081,8870454,7175373
12-08-2025,Kusmunda,Morning,600,552,48,360,4416,198,5605.36,2500,3137248,12331792,9194544
12-08-2025,Kusmunda,Evening,600,516,84,372,4128,81.6,4679.61,2500,2625435.5,10295142,7669706.5
23-11-2025,Korba,Morning,600,528,72,432,4224,22.8,3800.76,1333,1389616,7221444,5831828
23-11-2025,Korba,Evening,600,552,48,396,4416,255.6,3685.62,1333,1342167,7002678,5660511
23-11-2025,Korba,Night,600,564,36,384,4512,196.8,4653.82,1333,1683687,8842258,7158571
24-11-2025,Dipka,Evening,600,588,12,432,4704,194.4,5135.38,2000,2110202,14379064,12268862
25-11-2025,Kusmunda,Night,600,576,24,348,4608,139.2,4361.27,2500,2443098.5,9594794,7151695.5
27-11-2025,Korba,Night,600,528,72,408,4224,72,4693.69,1333,1702891.5,8918011,7215119.5
28-11-2025,Kusmunda,Evening,600,564,36,360,4512,55.2,6318.14,2500,3528327,13899908,10371581
28-11-2025,Kusmunda,Night,600,528,72,348,4224,114,5648.38,2500,3166909,12426436,9259527
29-11-2025,Dipka,Evening,600,504,96,336,4032,128.4,5186.46,2000,2127834,14522088,12394254
30-11-2025,Korba,Morning,600,564,36,396,4512,199.2,4449.15,1333,1605252.5,8453385,6848132.5
01-12-2025,Korba,Evening,600,552,48,348,4416,184.8,4823.03,1333,1743660.5,9163757,7420096.5
02-12-2025,Korba,Evening,600,540,60,384,4320,128.4,4246.43,1333,1544200.5,8068217,6524016.5
17-03-2025,Dipka,Morning,600,516,84,384,4128,140.4,5011.85,2000,2063340,14033180,11969840
17-03-2025,Korba,Night,600,564,36,432,4512,180,4738.11,1333,1715538.5,9002409,7286870.5
19-03-2025,Korba,Evening,600,552,48,396,4416,163.2,4897.94,1333,1771179,9306086,7534907
20-03-2025,Korba,Night,600,540,60,360,4320,190.8,5276.8,1333,1907080,10025920,8118840
21-03-2025,Kusmunda,Morning,600,516,84,336,4128,190.8,5527.79,2500,3095884.5,12161138,9065253.5
22-03-2025,Kusmunda,Night,600,552,48,408,4416,355.2,4375.03,2500,2457716.5,9625066,7167349.5
23-03-2025,Dipka,Morning,600,552,48,372,4416,133.2,5284.07,2000,2177028,14795396,12618368
24-03-2025,Dipka,Night,600,492,108,336,3936,222,4634.72,2000,1910138,12977216,11067078
24-03-2025,Kusmunda,Evening,600,552,48,348,4416,236.4,5072.77,2500,2847223.5,11160094,8312870.5
05-07-2025,Korba,Morning,600,576,24,384,4608,79.2,4613.88,1333,1667808,8766372,7098564
09-07-2025,Dipka,Night,600,516,84,396,4128,153.6,5037.84,2000,2068836,14105952,12037116
09-07-2025,Kusmunda,Morning,600,504,96,312,4032,242.4,5122.8,2500,2876040,11270160,8394120
13-07-2025,Dipka,Evening,600,516,84,444,4128,330,4963.38,2000,2044702,13897464,11852762
13-07-2025,Dipka,Night,600,576,24,396,4608,216,5110.75,2000,2101200,14310100,12208900
26-10-2025,Dipka,Morning,600,552,48,408,4416,276,5295.15,2000,2174210,14826420,12652210
26-10-2025,Kusmunda,Morning,600,540,60,396,4320,213.6,5717.64,2500,3202552,12578808,9376256
27-10-2025,Dipka,Morning,600,516,84,408,4128,135.6,5431.26,2000,2237304,15207528,12970224
28-10-2025,Korba,Morning,600,552,48,408,4416,102,4743.12,1333,1712292,9011928,7299636
29-10-2025,Korba,Night,600,516,84,348,4128,184.8,4895.18,1333,1768063,9300842,7532779
30-10-2025,Kusmunda,Night,600,564,36,396,4512,141.6,5320.17,2500,2980943.5,11704374,8723430.5
31-10-2025,Korba,Evening,600,588,12,432,4704,211.2,4497.66,1333,1627331,8545554,6918223
01-11-2025,Dipka,Evening,600,540,60,420,4320,104.4,5030.53,2000,2070612,14085484,12014872
01-11-2025,Dipka,Night,600,564,36,396,4512,172.8,5637.74,2000,2312196,15785672,13473476
03-11-2025,Korba,Morning,600,540,60,396,4320,134.4,4513.49,1333,1635221.5,8575631,6940409.5
15-02-2025,Kusmunda,Night,600,564,36,408,4512,60,5004.9,2500,2804995,11010780,8205785
16-02-2025,Dipka,Evening,600,552,48,348,4416,124.8,5320.78,2000,2187012,14898184,12711172
19-02-2025,Kusmunda,Night,600,528,72,300,4224,303.6,6019.16,2500,3367738,13242152,9874414
21-02-2025,Korba,Night,600,552,48,420,4416,92.4,5218.15,1333,1881302.5,9914485,8033182.5
22-02-2025,Korba,Evening,600,552,48,360,4416,266.4,4711.48,1333,1703868,8951812,7247944
23-02-2025,Dipka,Morning,600,552,48,360,4416,100.8,5631.66,2000,2310614,15768648,13458034
23-02-2025,Dipka,Evening,600,576,24,396,4608,174,5728.93,2000,2354222,16041004,13686782
23-02-2025,Korba,Night,600,576,24,408,4608,117.6,4816.83,1333,1739990.5,9151977,7411986.5
07-06-2025,Dipka,Morning,600,552,48,420,4416,146.4,5529.51,2000,2274454,15482628,13208174
07-06-2025,Kusmunda,Morning,600,540,60,396,4320,103.2,6032.68,2500,3368024,13271896,9903872
08-06-2025,Korba,Morning,600,552,48,396,4416,183.6,3378.57,1333,1234499.5,6419283,5184783.5
08-06-2025,Korba,Night,600,492,108,372,3936,97.2,4794.62,1333,1737567,9109778,7372211
10-06-2025,Kusmunda,Morning,600,564,36,384,4512,205.2,5438.11,2500,3051260.5,11963842,8912581.5
10-06-2025,Kusmunda,Night,600,540,60,336,4320,80.4,4797.49,2500,2694219.5,10554478,7860258.5
11-06-2025,Dipka,Night,600,540,60,408,4320,272.4,5696.42,2000,2338768,15949976,13611208
11-06-2025,Kusmunda,Morning,600,516,84,396,4128,140.4,5506.65,2500,3082857.5,12114630,9031772.5
14-06-2025,Kusmunda,Night,600,540,60,324,4320,170.4,5291.98,2500,2966839,11642356,8675517
27-09-2025,Dipka,Morning,600,540,60,336,4320,154.8,5778.26,2000,2371604,16179128,13807524
28-09-2025,Korba,Morning,600,504,96,384,4032,242.4,4677.98,1333,1689593,8888162,7198569
29-09-2025,Dipka,Evening,600,552,48,420,4416,218.4,5132.01,2000,2111304,14369628,12258324
29-09-2025,Korba,Morning,600,492,108,300,3936,100.8,4601.24,1333,1669684,8742356,7072672
29-09-2025,Korba,Night,600,528,72,384,4224,247.2,4428.24,1333,1605084,8413656,6808572
30-01-2025,Kusmunda,Morning,600,564,36,408,4512,136.8,6206.24,2500,3471482,13653728,10182246
30-01-2025,Kusmunda,Evening,600,528,72,336,4224,196.8,4947.95,2500,2773672.5,10885490,8111817.5
01-02-2025,Kusmunda,Night,600,564,36,384,4512,196.8,4686.06,2500,2632933,10309332,7676399
02-02-2025,Dipka,Evening,600,576,24,360,4608,156,4972.31,2000,2043374,13922468,11879094
05-02-2025,Dipka,Night,600,528,72,384,4224,141.6,5357.2,2000,2199980,15000160,12800180
06-02-2025,Korba,Evening,600,504,96,336,4032,181.2,4896.78,1333,1767023,9303882,7536859
21-05-2025,Dipka,Night,600,540,60,360,4320,181.2,5302.26,2000,2181104,14846328,12665224
21-05-2025,Kusmunda,Morning,600,552,48,396,4416,72,5294.21,2500,2970415.5,11647262,8676846.5
22-05-2025,Dipka,Evening,600,528,72,360,4224,135.6,4932.14,2000,2028356,13809992,11781636
22-05-2025,Korba,Night,600,540,60,408,4320,253.2,5096.31,1333,1841658.5,9682989,7841330.5
23-05-2025,Kusmunda,Morning,600,540,60,384,4320,262.8,5425.85,2500,3034167.5,11936870,8902702.5
23-05-2025,Kusmunda,Night,600,516,84,396,4128,166.8,5044.21,2500,2832815.5,11097262,8264446.5
29-05-2025,Kusmunda,Evening,600,540,60,348,4320,43.2,5719.17,2500,3200493.5,12582174,9381680.5
10-09-2025,Dipka,Morning,600,528,72,384,4224,10.8,4832.64,2000,1989406,13531392,11541986
11-09-2025,Dipka,Morning,600,540,60,372,4320,140.4,5383.63,2000,2212902,15074164,12861262
11-09-2025,Korba,Night,600,528,72,372,4224,164.4,4273.29,1333,1550401.5,8119251,6568849.5
13-09-2025,Dipka,Night,600,540,60,360,4320,115.2,4657.83,2000,1918732,13041924,11123192
14-09-2025,Korba,Evening,600,540,60,372,4320,86.4,5328.71,1333,1924398.5,10124549,8200150.5
14-09-2025,Korba,Night,600,576,24,360,4608,94.8,4395.62,1333,1598367,8351678,6753311
17-09-2025,Kusmunda,Night,600,552,48,324,4416,153.6,4936.92,2500,2766206,10861224,8095018
22-12-2025,Dipka,Morning,600,540,60,420,4320,51.6,5887.78,2000,2415412,16485784,14070372
23-12-2025,Dipka,Night,600,564,36,420,4512,151.2,5287.38,2000,2172702,14804664,12631962
25-12-2025,Korba,Morning,600,504,96,384,4032,56.4,5168.44,1333,1865404,9820036,7954632
28-12-2025,Kusmunda,Morning,600,540,60,420,4320,60,5248.32,2500,2942076,11546304,8604228
28-12-2025,Kusmunda,Evening,600,564,36,372,4512,289.2,5838.5,2500,3263025,12844700,9581675
29-12-2025,Korba,Morning,600,528,72,396,4224,145.2,4613.26,1333,1672041,8765194,7093153
12-04-2025,Korba,Night,600,504,96,408,4032,85.2,4731.25,1333,1711337.5,8989375,7278037.5
14-04-2025,Korba,Morning,600,552,48,420,4416,219.6,4714.93,1333,1707225.5,8958367,7251141.5
15-04-2025,Korba,Evening,600,504,96,360,4032,49.2,5206.08,1333,1883178,9891552,8008374
15-04-2025,Korba,Night,600,564,36,408,4512,145.2,3659.85,1333,1340097.5,6953715,5613617.5
16-04-2025,Kusmunda,Night,600,552,48,336,4416,103.2,5571.77,2500,3124673.5,12257894,9133220.5
17-04-2025,Korba,Night,600,564,36,348,4512,243.6,4042.33,1333,1472565.5,7680427,6207861.5
18-04-2025,Dipka,Morning,600,552,48,348,4416,70.8,5696.82,2000,2337228,15951096,13613868
18-04-2025,Dipka,Evening,600,564,36,396,4512,157.2,5460.35,2000,2242640,15288980,13046340
18-04-2025,Kusmunda,Morning,600,540,60,396,4320,165.6,5120.15,2500,2867632.5,11264330,8396697.5
19-04-2025,Korba,Morning,600,564,36,396,4512,129.6,5488.62,1333,1978217,10428378,8450161
19-04-2025,Korba,Evening,600,540,60,360,4320,213.6,4272.21,1333,1551623.5,8117199,6565575.5
20-04-2025,Kusmunda,Night,600,540,60,324,4320,162,5953.22,2500,3326871,13097084,9770213
03-08-2025,Kusmunda,Evening,600,564,36,420,4512,267.6,4871.89,2500,2732589.5,10718158,7985568.5
04-08-2025,Korba,Morning,600,516,84,360,4128,134.4,5617.04,1333,2023264,10672376,8649112
05-08-2025,Dipka,Night,600,540,60,360,4320,190.8,5818.98,2000,2384592,16293144,13908552
05-08-2025,Kusmunda,Evening,600,552,48,360,4416,159.6,4526.98,2500,2546289,9959356,7413067
06-08-2025,Dipka,Evening,600,540,60,408,4320,258,5869.84,2000,2409936,16435552,14025616
06-08-2025,Korba,Night,600,552,48,396,4416,10.8,4749.19,1333,1716116.5,9023461,7307344.5
30-01-2025,Korba,Evening,600,552,48,408,4416,103.2,4667.32,1333,1693662,8867908,7174246
30-01-2025,Korba,Night,600,540,60,432,4320,218.4,5095.89,1333,1842061.5,9682191,7840129.5
31-01-2025,Dipka,Morning,600,552,48,372,4416,213.6,3911.11,2000,1615794,10951108,9335314
31-01-2025,Kusmunda,Evening,600,540,60,312,4320,188.4,3987.94,2500,2242467,8773468,6531001
02-02-2025,Korba,Morning,600,564,36,360,4512,165.6,4553.37,1333,1652079.5,8651403,6999323.5
03-02-2025,Kusmunda,Night,600,528,72,324,4224,105.6,5992.7,2500,3355135,13183940,9828805
04-02-2025,Korba,Morning,600,564,36,456,4512,170.4,5081.69,1333,1836991.5,9655211,7818219.5
04-02-2025,Korba,Evening,600,540,60,348,4320,165.6,4479.17,1333,1624709.5,8510423,6885713.5
